Date,AMZN,RIOT,TSLA,SPCE,GME,AMC,BBBY,BB,SNAP,NFLX,NVDA,AMD,SPOT,MSTR,SQ,ROKU,ZM,SHOP,GOOG
1/2/2020,94.90049744,1.220000029,28.68400002,11.78999996,1.577499986,7.414512157,15.96711063,6.519999981,16.78000069,329.8099976,59.7858429,49.09999847,151.6199951,144.3099976,63.83000183,137.1000061,68.72000122,40.78099823,68.36849976
1/3/2020,93.74849701,1.179999948,29.5340004,11.81000042,1.470000029,7.275365829,15.72266674,6.460000038,16.75,325.8999939,58.82891083,48.59999847,152.5,143.5700073,63,137.5099945,67.27999878,40.42900085,68.03299713
1/6/2020,95.14399719,1.299999952,30.10266685,11.38000011,1.462499976,7.076585293,16.19199944,6.679999828,16.78000069,335.8299866,59.07561874,48.38999939,156.7200012,144.25,62.56999969,143.3699951,70.31999969,41.33300018,69.71050262
1/7/2020,95.34300232,1.49000001,31.27066612,11.35999966,1.379999995,7.086524487,16.46577835,6.659999847,17.03000069,330.75,59.7908287,48.25,156.0200043,143.8699951,64.58999634,138.1900024,71.90000153,41.45000076,69.66699982
1/8/2020,94.59850311,1.370000005,32.8093338,11.42000008,1.429999948,6.57963419,16.27999878,6.659999847,16.67000008,339.2600098,59.90296936,47.83000183,158.7799988,143.7100067,67.59999847,134.6399994,72.55000305,41.81000137,70.21600342
1/9/2020,95.05249786,1.330000043,32.08933258,12.03999996,1.387500048,6.420609951,13.15111065,6.639999866,17.36000061,335.6600037,60.56085968,48.97000122,157.7400055,143.5,67.93000031,133.7899933,72.62000275,43.02000046,70.99150085
1/10/2020,94.15799713,1.409999967,31.87666702,12.82999992,1.357499957,6.430548668,14.23644447,6.559999943,17.40999985,329.0499878,60.88482285,48.16999817,156.0399933,142.3899994,67.98999786,128.3999939,73.08999634,42.91699982,71.4865036
1/13/2020,94.56500244,1.360000014,34.99066544,13.69999981,1.357499957,6.519999981,14.66666698,6.670000076,18,338.9200134,62.79370117,48.75,150.8699951,144.5899963,68.66000366,133.9299927,74.02999878,44.02500153,71.96150208
1/14/2020,93.47200012,1.419999957,35.86133194,13.97000027,1.17750001,6.808231831,15.04800034,6.639999866,17.98999977,338.6900024,61.62245178,48.20999908,149.3999939,144.7700043,68.16999817,133.4199982,73.16000366,44.12200165,71.54399872
1/15/2020,93.10099792,1.399999976,34.56666565,14.84000015,1.152500033,7.066646576,15.22399998,6.730000019,18.19000053,339.0700073,61.19632721,48.54999924,152.4499969,146.2700043,70.36000061,132.5,76.94000244,44.85100174,71.95999908
1/16/2020,93.89700317,1.429999948,34.23266602,14.93999958,1.154999971,7.285305023,15.01866627,6.820000172,18.25,338.6199951,62.033638,49.77000046,151.8399963,146.7200012,69.51999664,131.0700073,76.11000061,45.13000107,72.58499908
1/17/2020,93.23600006,1.460000038,34.03333282,15.64000034,1.1875,7.235610008,15.04800034,6.730000019,19.11000061,339.6700134,62.12085724,50.93000031,148.3399963,146.7400055,69.37999725,130.3800049,75.55999756,45.48799896,74.01950073
1/21/2020,94.59999847,1.399999976,36.47999954,17.29999924,1.147500038,7.136219501,15.62488842,6.579999924,19,338.1099854,61.78693008,51.04999924,148.9499969,145.9499969,68.30999756,136.6300049,76.73000336,46.54399872,74.22000122
1/22/2020,94.3730011,1.340000033,37.97066879,19.71999931,1.139999986,6.927499771,15.52711105,6.630000114,19.10000038,326,62.32769775,51.43000031,148.1199951,145.9199982,68.69000244,132.4299927,75.54000092,46.47600174,74.29750061
1/23/2020,94.22899628,1.25999999,38.14666748,19.12000084,1.154999971,6.758536816,15.71288872,6.659999847,19.25,349.6000061,63.01299667,51.70999908,148.9700012,145.7400055,69.29000092,134.0700073,74.47000122,46.92499924,74.33249664
1/24/2020,93.08200073,1.25999999,37.6546669,17.20999908,1.080000043,6.69890213,15.98666668,6.590000153,19.04999924,353.1600037,62.41989517,50.34999847,146.6300049,143.1600037,71.13999939,130.0899963,73,46.54800034,73.33550262
1/27/2020,91.41699982,1.24000001,37.20133209,17.44000053,1.070000052,6.321219444,15.56622219,6.260000229,18.62000084,342.8800049,59.85810852,49.25999832,144.3399963,142.5299988,71.05000305,126.2099991,70.44000244,45.11100006,71.69499969
1/28/2020,92.66249847,1.309999943,37.79333115,17.96999931,1.05250001,6.748597622,15.76177883,6.409999847,18.98999977,348.519989,61.79439926,50.52999878,144.3000031,144,74.80000305,129.6100006,71.51000214,46.76599884,72.62799835
1/29/2020,92.90000153,1.309999943,38.73266602,17.57999992,1.032500029,6.728719711,15.84977722,6.340000153,19.13999939,343.1600037,61.18883896,47.50999832,141.5700073,152.6000061,76.16000366,128.8800049,73.58000183,47.16699982,72.9315033
1/30/2020,93.53399658,1.429999948,42.72066879,17.10000038,0.982500017,6.798292637,14.61777782,6.239999771,18.87999916,347.7399902,61.25612259,48.77999878,142.7100067,152.6999969,76.09999847,130.6399994,74.54000092,47.68799973,72.79199982
1/31/2020,100.435997,1.350000024,43.37133408,17.14999962,0.959999979,6.48024416,13.9333334,6.099999905,18.37999916,345.0899963,58.91862488,47,141.3000031,152.0299988,74.69000244,120.9499969,76.30000305,46.56600189,71.71150208
2/3/2020,100.2099991,1.360000014,52,18.61000061,0.987500012,6.410670757,14.5591116,6.210000038,18.22999954,358,59.89051056,48.02000046,146.5,149.4799957,79.80000305,127.5,87.66000366,46.93899918,74.29699707
2/4/2020,102.4834976,1.379999995,59.13733292,19.69000053,1.017500043,6.609451294,14.99911118,6.150000095,18.97999954,369.0100098,61.58507538,49.45000076,154.3099976,151.8099976,80.90000153,131.0299988,85.79000092,48.54600143,72.35350037
2/5/2020,101.9934998,1.480000019,48.97999954,18.69000053,1.044999957,6.957317352,15.39999962,6.199999809,16.19000053,369.6700134,62.4896698,49.84000015,147,152.8399963,78.25,125.9400024,86.98999786,47.55599976,72.41149902
2/6/2020,102.5114975,1.429999948,49.93066788,18.52000046,1.034999967,6.708841324,15.27288914,6.130000114,17,366.9500122,63.35938644,49.31999969,154.3699951,152.2400055,78.51000214,126.1600037,87.26000214,47.29800034,73.81150055
2/7/2020,103.9639969,1.429999948,49.87133408,18.93000031,0.952499986,6.510061264,14.96977806,6.019999981,17.12999916,366.769989,62.69651413,49.72999954,154.5500031,152.6600037,78.86000061,124.25,88.63999939,47.86899948,73.96150208
2/10/2020,106.6955032,1.480000019,51.41866684,20.54999924,0.985000014,6.748597622,13.97244453,6.050000191,17.60000038,371.0700073,65.53242493,52.25999832,148.3300018,151.4499969,80.16999817,132.2100067,89.66999817,49.16899872,75.43399811
2/11/2020,107.5400009,1.679999948,51.62533188,21.94000053,1.004999995,6.897683144,14.52000046,6.190000057,17.61000061,373.6900024,66.75849152,53.79999924,145.7700043,152.1000061,79.87999725,137,88.68000031,49.27500153,75.4394989
2/12/2020,108,1.600000024,51.152668,23.07999992,1.047500014,6.818171024,11.52799988,6.070000172,17.39999962,380.0100098,67.91727448,53.88999939,147.0800018,149.8399963,80,138.2899933,88.27999878,53.125,75.91349792
2/13/2020,107.4934998,1.610000014,53.59999847,23.65999985,1.027500033,6.957317352,11.54755592,6,17.59000015,381.3999939,67.4786911,54.52999878,141.5,148.0700073,80.98999786,139.0500031,89.86000061,53.29700089,75.73300171
2/14/2020,106.7434998,1.639999986,53.33533478,28.68000031,1.004999995,7.056707382,10.93155575,5.829999924,17.55999947,380.3999939,72.21599579,55.31000137,141,148.8399963,81.86000061,130.25,90.94999695,53.12200165,76.03700256
2/18/2020,107.7835007,1.5,57.2266655,30.29999924,1.014999986,6.997073174,11.51822186,6.090000153,17.17000008,387.7799988,73.90557861,56.88999939,144.6300049,147.9700012,82.41999817,127.1500015,96.38999939,53.64099884,75.98349762
2/19/2020,108.5110016,1.5,61.16133118,37.34999847,1.037500024,7.265426636,12.32977772,6.150000095,17.20000076,386.1900024,78.42359924,58.90000153,143.3600006,149.6000061,85.23999786,126.5599976,103.9300003,54.32099915,76.33450317
2/20/2020,107.6549988,1.419999957,59.96066666,37.25999832,1.034999967,7.712683201,12.3884449,6.159999847,16.92000008,386,76.92839813,57.27000046,147.8600006,149.8000031,85.69999695,124.0800018,105.2900009,53.55799866,75.90750122
2/21/2020,104.7985001,1.409999967,60.06666565,33.86999893,1.00999999,7.414512157,12.17333317,6.010000229,16.70000076,380.0700073,73.28258514,53.27999878,146.9499969,149.9499969,83.48999786,119.3799973,101.7600021,52.06600189,74.25550079
2/24/2020,100.4645004,1.330000043,55.58599854,34.29000092,0.925000012,7.007012367,11.36177731,5.760000229,16.14999962,368.7000122,68.10167694,49.11999893,145.3300018,145.8800049,80.20999908,116.9899979,105.0100021,49.09600067,71.07949829
2/25/2020,98.63700104,1.25999999,53.32733154,34.04000092,0.889999986,6.510061264,10.74577713,5.5,15.89000034,360.0899963,65.30315399,47.56999969,141.8000031,140.0500031,77.05000305,118.6699982,107.0800018,46.64599991,69.42250061
2/26/2020,98.97949982,1.245000005,51.91999817,28.75,0.847500026,5.893841267,10.36444473,5.46999979,15.67000008,379.2399902,66.69866943,47.49000168,140.4900055,140.1199951,76.58999634,112.7099991,106.8799973,47.11800003,69.65899658
